shop_id,user_id,order_amount,total_items,payment_method,created_at
53,746,224,2,cash,3/13/17 12:36
92,925,90,1,cash,3/3/17 17:38
44,861,144,1,cash,3/14/17 4:23
18,935,156,1,credit_card,3/26/17 12:43
18,883,156,1,credit_card,3/1/17 4:35
58,882,138,1,credit_card,3/14/17 15:25
87,915,149,1,cash,3/1/17 21:37
22,761,292,2,cash,3/8/17 2:05
64,914,266,2,debit,3/17/17 20:56
52,788,146,1,credit_card,3/30/17 21:08
66,848,322,2,credit_card,3/26/17 23:36
40,983,322,2,debit,3/12/17 17:58
54,799,266,2,credit_card,3/16/17 14:15
100,709,111,1,cash,3/22/17 2:39
87,849,447,3,credit_card,3/10/17 11:23
42,607,704000,2000,credit_card,3/7/17 4:00
17,731,176,1,cash,3/21/17 4:23
28,752,164,1,credit_card,3/21/17 12:09
83,761,258,2,cash,3/17/17 13:18
63,898,408,3,credit_card,3/29/17 15:11
66,987,322,2,cash,3/30/17 20:11
97,789,486,3,credit_card,3/4/17 15:44
88,985,704,4,credit_card,3/22/17 1:19
75,964,256,2,credit_card,3/12/17 3:07
73,917,495,3,cash,3/3/17 13:01
82,848,177,1,cash,3/25/17 21:35
47,882,145,1,cash,3/22/17 7:38
53,942,112,1,credit_card,3/17/17 9:41
40,944,322,2,cash,3/5/17 2:12
59,790,178,1,credit_card,3/4/17 22:49
76,857,310,2,cash,3/23/17 21:34
57,839,294,2,debit,3/19/17 5:31
76,712,465,3,credit_card,3/10/17 23:54
7,800,224,2,credit_card,3/3/17 5:31
34,704,244,2,debit,3/13/17 0:00
61,781,316,2,cash,3/8/17 15:57
84,979,459,3,credit_card,3/5/17 22:44
66,961,322,2,credit_card,3/14/17 6:04
10,921,148,1,credit_card,3/6/17 5:51
61,756,316,2,credit_card,3/7/17 17:03
42,793,352,1,credit_card,3/24/17 14:15
1,847,316,2,debit,3/20/17 14:58
18,934,624,4,debit,3/21/17 6:59
21,792,284,2,credit_card,3/8/17 4:16
99,759,195,1,credit_card,3/2/17 8:13
29,969,652,4,credit_card,3/4/17 8:58
33,954,346,2,cash,3/25/17 14:18
52,791,438,3,cash,3/5/17 15:50
3,714,296,2,debit,3/20/17 16:48
64,768,399,3,debit,3/2/17 17:26
58,984,276,2,debit,3/23/17 7:05
81,959,531,3,cash,3/25/17 22:58
30,968,459,3,cash,3/28/17 8:15
33,842,692,4,debit,3/8/17 7:36
79,823,181,1,cash,3/25/17 4:47
51,851,561,3,credit_card,3/13/17 5:05
53,739,560,5,credit_card,3/18/17 8:45
51,759,187,1,cash,3/30/17 22:34
47,837,145,1,credit_card,3/13/17 6:35
80,908,145,1,debit,3/27/17 9:03
42,607,704000,2000,credit_card,3/4/17 4:00
60,720,531,3,debit,3/21/17 18:08
86,981,260,2,debit,3/24/17 6:11
91,962,160,1,debit,3/1/17 19:05
72,887,480,3,credit_card,3/2/17 0:15
7,988,112,1,debit,3/29/17 10:22
66,743,322,2,cash,3/1/17 10:40
21,812,284,2,debit,3/3/17 15:52
86,994,390,3,credit_card,3/21/17 22:05
58,876,138,1,debit,3/4/17 10:38
11,725,184,1,credit_card,3/14/17 17:12
34,813,122,1,credit_card,3/20/17 17:43
86,960,130,1,debit,3/4/17 14:15
14,968,116,1,cash,3/22/17 0:14
5,862,142,1,credit_card,3/26/17 9:14
84,744,459,3,cash,3/6/17 0:39
20,975,127,1,cash,3/19/17 13:05
41,985,354,3,cash,3/22/17 13:41
8,806,132,1,credit_card,3/27/17 3:39
20,838,254,2,credit_card,3/3/17 14:00
52,979,584,4,credit_card,3/11/17 14:30
28,868,328,2,debit,3/4/17 6:53
48,857,234,2,cash,3/11/17 18:14
100,817,111,1,cash,3/12/17 22:10
41,707,118,1,debit,3/30/17 12:05
53,908,224,2,credit_card,3/27/17 20:46
56,711,234,2,credit_card,3/17/17 2:08
64,713,399,3,credit_card,3/4/17 12:15
55,998,513,3,credit_card,3/9/17 13:22
28,705,164,1,cash,3/11/17 18:13
50,744,193,1,debit,3/2/17 6:36
3,835,296,2,credit_card,3/9/17 4:01
22,856,146,1,credit_card,3/24/17 11:47
58,810,276,2,debit,3/7/17 4:27
87,961,149,1,cash,3/21/17 3:20
35,975,328,2,credit_card,3/1/17 6:27
70,758,346,2,cash,3/7/17 14:57
92,850,180,2,cash,3/22/17 19:21
79,741,181,1,debit,3/16/17 0:16
18,752,780,5,cash,3/6/17 23:41
77,972,156,1,credit_card,3/17/17 6:45
74,923,612,4,credit_card,3/28/17 11:00
41,964,354,3,cash,3/17/17 7:59
53,740,224,2,cash,3/17/17 7:29
54,803,532,4,cash,3/28/17 5:30
13,746,320,2,cash,3/16/17 15:04
87,953,149,1,cash,3/17/17 8:03
12,732,201,1,credit_card,3/21/17 20:26
58,926,276,2,cash,3/1/17 3:15
58,774,414,3,cash,3/1/17 10:01
83,893,129,1,cash,3/27/17 7:07
68,984,136,1,credit_card,3/11/17 9:43
73,885,165,1,debit,3/6/17 0:59
69,857,262,2,credit_card,3/13/17 21:33
41,755,590,5,cash,3/20/17 23:15
25,791,260,2,credit_card,3/19/17 21:46
6,813,374,2,debit,3/10/17 14:25
61,759,316,2,debit,3/29/17 22:43
84,789,153,1,credit_card,3/5/17 4:08
